Month,No. of Banks live on UPI,Volume (in Mn),Value (in Cr.),Date,Volume_Absolute,Value_Absolute_INR,ATS_INR,YoY_Value_Growth_%,YoY_Volume_Growth_%
Apr-16,21,0.0,0.0,2016-04-01,0.0,0.0,,,
May-16,21,0.0,0.0,2016-05-01,0.0,0.0,,,
Jun-16,21,0.0,0.0,2016-06-01,0.0,0.0,,,
Jul-16,21,0.09,0.38,2016-07-01,90000.0,3800000.0,42.22222222222222,,
Aug-16,21,0.09,3.09,2016-08-01,90000.0,30900000.0,343.3333333333333,,
Sep-16,25,0.09,32.64,2016-09-01,90000.0,326400000.0,3626.6666666666665,,
Oct-16,26,0.1,48.57,2016-10-01,100000.0,485700000.0,4857.0,,
Nov-16,30,0.29,100.46,2016-11-01,290000.0,1004599999.9999999,3464.1379310344823,,
Dec-16,35,1.99,707.93,2016-12-01,1990000.0,7079299999.999999,3557.437185929648,,
Jan-17,36,4.46,1696.22,2017-01-01,4460000.0,16962200000.0,3803.183856502242,,
Feb-17,44,4.38,1937.71,2017-02-01,4380000.0,19377100000.0,4423.995433789954,,
Mar-17,44,6.37,2425.14,2017-03-01,6370000.0,24251400000.0,3807.12715855573,,
Apr-17,48,7.2,2271.24,2017-04-01,7200000.0,22712399999.999996,3154.4999999999995,inf,inf
May-17,49,9.36,2797.07,2017-05-01,9360000.0,27970700000.0,2988.3226495726494,inf,inf
Jun-17,52,10.35,3098.36,2017-06-01,10350000.0,30983600000.0,2993.584541062802,inf,inf
Jul-17,53,11.63,3411.35,2017-07-01,11630000.0,34113500000.0,2933.2330180567496,897623.6842105263,12822.222222222223
Aug-17,55,16.8,4156.62,2017-08-01,16800000.0,41566200000.0,2474.1785714285716,134418.44660194175,18566.666666666664
Sep-17,57,30.98,5325.81,2017-09-01,30980000.0,53258100000.00001,1719.1123305358299,16216.81985294118,34322.222222222226
Oct-17,60,76.96,7057.78,2017-10-01,76960000.0,70577800000.0,917.0712058212058,14431.150916203418,76860.0
Nov-17,61,105.02,9669.33,2017-11-01,105020000.0,96693300000.0,920.713197486193,9525.054748158473,36113.793103448275
Dec-17,67,145.64,13174.24,2017-12-01,145640000.0,131742400000.0,904.5756660258171,1760.9523540463044,7218.59296482412
Jan-18,71,151.83,15571.2,2018-01-01,151830000.0,155712000000.0,1025.568069551472,817.9941281201732,3304.260089686099
Feb-18,86,171.4,19126.2,2018-02-01,171400000.0,191262000000.0,1115.8809801633606,887.0517260064717,3813.2420091324198
Mar-18,91,178.05,24172.6,2018-03-01,178050000.0,241726000000.0,1357.6298792474024,896.7507030521949,2695.133437990581
Apr-18,97,190.08,27021.85,2018-04-01,190080000.0,270218500000.0,1421.6040614478115,1089.7399658336417,2540.0
May-18,101,189.48,33288.51,2018-05-01,189480000.0,332885100000.0,1756.8350221659277,1090.120733481822,1924.3589743589744
Jun-18,110,246.37,40834.03,2018-06-01,246370000.0,408340300000.0,1657.4270406299468,1217.9239985024335,2280.386473429952
Jul-18,114,273.75,51843.14,2018-07-01,273750000.0,518431400000.0,1893.8133333333333,1419.7250355431133,2253.8263112639725
Aug-18,114,312.02,54212.26,2018-08-01,312020000.0,542122600000.0,1737.4610601884494,1204.2390211277432,1757.2619047619046
Sep-18,122,405.87,59835.36,2018-09-01,405870000.0,598353600000.0,1474.249390198832,1023.4978341322726,1210.10329244674
Oct-18,128,482.36,74978.27,2018-10-01,482360000.0,749782700000.0,1554.4048013931504,962.3492089580576,526.7671517671519
Nov-18,128,524.94,82232.21,2018-11-01,524940000.00000006,822322100000.0001,1566.506838876824,750.4437225743667,399.8476480670349
Dec-18,129,620.17,102594.82,2018-12-01,620170000.0,1025948200000.0001,1654.3015624748055,678.7532335831138,325.82394946443287
Jan-19,134,672.75,109932.43,2019-01-01,672750000.0,1099324299999.9999,1634.0755109624672,605.9984458487463,343.0942501481921
Feb-19,139,674.19,106737.12,2019-02-01,674190000.0,1067371200000.0,1583.1904952609798,458.06757223076204,293.34305717619606
Mar-19,142,799.54,133460.72,2019-03-01,799540000.0,1334607200000.0,1669.218800810466,452.1157012485211,349.0536366189272
Apr-19,144,781.79,142034.39,2019-04-01,781790000.0,1420343900000.0002,1816.7844306015686,425.62792702942255,311.2952441077441
May-19,143,733.54,152449.29,2019-05-01,733540000.0,1524492900000.0,2078.268260762876,357.9636937790246,287.13320667088874
Jun-19,142,754.54,146566.35,2019-06-01,754540000.0,1465663500000.0,1942.4596442865852,258.9318761826839,206.26293785769371
Jul-19,143,822.29,146386.64,2019-07-01,822290000.0,1463866400000.0002,1780.2313052572697,182.36453270384473,200.3799086757991
Aug-19,141,918.35,154504.89,2019-08-01,918350000.0,1545048900000.0002,1682.4183590134483,184.9999059253387,194.32408178962888
Sep-19,141,955.02,161456.56,2019-09-01,955020000.0,1614565600000.0,1690.609201901531,169.83469306443547,135.30194397220785
Oct-19,141,1148.36,191359.94,2019-10-01,1148360000.0,1913599400000.0,1666.3758751610992,155.22053256230106,138.07115017829008
Nov-19,143,1218.77,189229.09,2019-11-01,1218770000.0,1892290900000.0,1552.6234646405803,130.1155350196717,132.17320074675197
Dec-19,143,1308.4,202520.76,2019-12-01,1308400000.0,2025207600000.0,1547.8505044328951,97.39862109997364,110.97441024235289
Jan-20,144,1305.02,216242.97,2020-01-01,1305020000.0,2162429700000.0,1657.0088581017915,96.7053489129641,93.98290598290598
Feb-20,146,1325.69,222516.95,2020-02-01,1325690000.0,2225169500000.0,1678.4991212123498,108.47194490539,96.63447989439177
Mar-20,148,1246.84,206462.31,2020-03-01,1246840000.0,2064623100000.0,1655.8845561579674,54.698933139278736,55.944668184205916
Apr-20,153,999.57,151140.66,2020-04-01,999570000.0,1511406600000.0,1512.0567844172995,6.411313485417147,27.856585528082988
May-20,155,1234.5,218391.6,2020-05-01,1234500000.0,2183916000000.0,1769.0692588092345,43.25524244816097,68.29348092810208
Jun-20,155,1336.93,261835.0,2020-06-01,1336930000.0,2618350000000.0,1958.4795015445834,78.6460534768042,77.18477482969757
Jul-20,164,1497.36,290537.86,2020-07-01,1497360000.0,2905378600000.0,1940.3340546027675,98.47293441532639,82.09634070704983
Aug-20,168,1618.83,298307.61,2020-08-01,1618830000.0,2983076100000.0,1842.735864791238,93.07324836126543,76.27592965644907
